Academic license - for non-commercial use only
#states     factor     time-vi    time-2lp  
        75      -0.61    1.09227    0.00975
        75      -0.60    1.17484    0.00919
        75      -0.59    1.18134    0.00956
        75      -0.58    1.18010    0.00930
        75      -0.57    1.18398    0.00938
        75      -0.56    1.20699    0.01013
        75      -0.55    1.21773    0.00932
        75      -0.54    1.25423    0.00942
        75      -0.53    1.24774    0.01037
        75      -0.52    1.25360    0.00950
        75      -0.51    1.31175    0.00946
        75      -0.50    1.29724    0.00987
        75      -0.49    1.33576    0.00971
        75      -0.48    1.36686    0.01031
        75      -0.47    1.33653    0.00983
        75      -0.46    1.43105    0.00972
        75      -0.45    1.40018    0.00994
        75      -0.44    1.40924    0.01055
        75      -0.43    1.46020    0.00976
        75      -0.42    1.47994    0.00973
        75      -0.41    1.51054    0.01006
        75      -0.40    1.47633    0.00964
        75      -0.39    1.53485    0.00967
        75      -0.38    1.59132    0.01047
        75      -0.37    1.61937    0.00965
        75      -0.36    1.65857    0.00958
        75      -0.35    1.72131    0.01031
        75      -0.34    1.69877    0.00937
        75      -0.33    1.75281    0.00975
        75      -0.32    1.91100    0.00997
        75      -0.31    1.88231    0.00964
        75      -0.30    1.89504    0.01045
        75      -0.29    2.04288    0.01446
        75      -0.28    2.00692    0.00979
        75      -0.27    2.07774    0.01030
        75      -0.26    2.16019    0.01028
        75      -0.25    2.26065    0.00965
        75      -0.24    2.30000    0.00990
        75      -0.23    2.40809    0.01024
        75      -0.22    2.51643    0.00992
        75      -0.21    2.72507    0.00991
        75      -0.20    2.59072    0.01033
        75      -0.19    2.78631    0.01013
        75      -0.18    2.89484    0.00994
        75      -0.17    2.99024    0.00990
        75      -0.16    3.22504    0.00948
        75      -0.15    3.24610    0.00967
        75      -0.14    3.38403    0.01057
        75      -0.13    3.63476    0.00950
        75      -0.12    3.62316    0.00967
        75      -0.11    3.92377    0.01009
        75      -0.10    4.21841    0.00967
        75      -0.09    4.35671    0.00973
        75      -0.08    4.68757    0.01053
        75      -0.07    5.02150    0.00983
        75      -0.06    5.65747    0.01039
        75      -0.05    5.74914    0.01074
        75      -0.04    6.42694    0.00999
        75      -0.03    7.01238    0.01009
        75      -0.02    7.07970    0.01057
        75      -0.01    8.08082    0.01007
        75       0.00    1.44236    0.00900
        75       0.01   10.01101    0.01218
        75       0.02   11.34463    0.00965
        75       0.03   14.12903    0.00993
        75       0.04    1.76155    0.01018
        75       0.05    1.91816    0.00944
        75       0.06    1.74032    0.00953
        75       0.07    1.66886    0.00929
        75       0.08    1.65972    0.00990
        75       0.09    1.69541    0.00921
        75       0.10    1.69669    0.00917
        75       0.11    1.69795    0.00958
        75       0.12    1.68476    0.00991
        75       0.13    1.75834    0.00956
        75       0.14    1.67012    0.00909
        75       0.15    1.73442    0.00911
        75       0.16    1.72344    0.00908
        75       0.17    1.75507    0.00908
        75       0.18    1.81717    0.00911
        75       0.19    1.24003    0.00954
        75       0.20    1.25700    0.00911
        75       0.21    1.24233    0.00907
        75       0.22    1.27388    0.00953
        75       0.23    1.26557    0.00951
        75       0.24    1.31920    0.00912
        75       0.25    1.32347    0.00913
        75       0.26    1.34978    0.00968
        75       0.27    1.29158    0.00939
        75       0.28    1.30809    0.00940
        75       0.29    1.33736    0.00904
        75       0.30    1.38136    0.00916
        75       0.31    1.33783    0.00904
        75       0.32    1.40442    0.00935
        75       0.33    1.43033    0.00922
        75       0.34    1.41590    0.01020
        75       0.35    1.43291    0.01171
        75       0.36    1.45905    0.00909
        75       0.37    1.47496    0.00904
        75       0.38    1.47203    0.00917
        75       0.39    1.50335    0.00963
        75       0.40    0.80245    0.00971
        75       0.41    0.77555    0.00904
        75       0.42    0.78812    0.00912
        75       0.43    0.77569    0.00902
        75       0.44    0.78939    0.00902
        75       0.45    0.78185    0.00955
        75       0.46    0.81578    0.00904
        75       0.47    0.78994    0.00900
        75       0.48    0.78855    0.00904
        75       0.49    0.77343    0.00897
        75       0.50    0.77200    0.00906
        75       0.51    0.76277    0.00930
        75       0.52    0.79402    0.00899
        75       0.53    0.76705    0.00919
        75       0.54    0.76713    0.00922
        75       0.55    0.76808    0.00933
        75       0.56    0.76528    0.00960
        75       0.57    0.76775    0.00937
        75       0.58    0.76525    0.02527
        75       0.59    0.78580    0.00940
        75       0.60    0.77333    0.00903
        75       0.61    0.78181    0.00903
        75       0.62    0.76633    0.00914
        75       0.63    0.77344    0.00905
        75       0.64    0.77280    0.00967
        75       0.65    0.79692    0.01013
        75       0.66    0.77966    0.00929
        75       0.67    0.77557    0.00899
        75       0.68    0.77216    0.00904
        75       0.69    0.76854    0.00900
        75       0.70    0.76719    0.01212
        75       0.71    0.80413    0.01432
        75       0.72    0.77470    0.00940
        75       0.73    0.76474    0.00959
        75       0.74    0.76484    0.01053
        75       0.75    0.77415    0.00914
        75       0.76    0.77893    0.00934
        75       0.77    0.80650    0.00957
        75       0.78    0.76539    0.00917
        75       0.79    0.75643    0.00922
        75       0.80    0.75891    0.00955
        75       0.81    0.75888    0.00938
        75       0.82    0.75938    0.00901
        75       0.83    0.78619    0.00930
        75       0.84    0.74238    0.00984
        75       0.85    0.74965    0.00909
        75       0.86    0.75744    0.00950
        75       0.87    0.75230    0.00900
        75       0.88    0.74798    0.00926
        75       0.89    0.75834    0.00936
        75       0.90    0.78690    0.00916
        75       0.91    0.75625    0.00913
        75       0.92    0.75753    0.00931
        75       0.93    0.75891    0.00900
        75       0.94    0.75754    0.01072
        75       0.95    0.75869    0.01000
        75       0.96    0.78663    0.00913
        75       0.97    0.76044    0.00929
        75       0.98    0.75978    0.00939
        75       0.99    0.76787    0.00904
        75       1.00    0.75795    0.00991
       125      -0.99    2.54029    0.01604
       125      -0.98    2.55562    0.02076
       125      -0.97    2.56366    0.01581
       125      -0.96    2.63290    0.01645
       125      -0.95    2.63604    0.01615
       125      -0.94    2.62074    0.01608
       125      -0.93    2.66359    0.01694
       125      -0.92    2.76377    0.01685
       125      -0.91    2.78303    0.01712
       125      -0.90    2.83824    0.01641
       125      -0.89    2.69422    0.01592
       125      -0.88    2.81928    0.01664
       125      -0.87    2.74452    0.01616
       125      -0.86    2.74581    0.01871
       125      -0.85    2.71341    0.01620
       125      -0.84    2.88034    0.01699
       125      -0.83    2.95709    0.01622
       125      -0.82    2.94335    0.01798
       125      -0.81    3.03649    0.01686
       125      -0.80    2.94396    0.01938
       125      -0.79    2.88141    0.02297
       125      -0.78    3.01726    0.01869
       125      -0.77    2.94264    0.01728
       125      -0.76    3.09564    0.01675
       125      -0.75    2.98862    0.01623
       125      -0.74    2.96100    0.01697
       125      -0.73    3.04573    0.01681
       125      -0.72    3.12923    0.01696
       125      -0.71    3.15100    0.01609
       125      -0.70    3.12461    0.01669
       125      -0.69    3.23076    0.01708
       125      -0.68    3.14430    0.01639
       125      -0.67    3.21450    0.01668
       125      -0.66    3.20365    0.01613
       125      -0.65    3.35160    0.01621
       125      -0.64    3.34871    0.01599
       125      -0.63    3.64602    0.01817
       125      -0.62    3.57735    0.01727
       125      -0.61    3.53897    0.01673
       125      -0.60    3.43291    0.02107
       125      -0.59    3.48474    0.01648
       125      -0.58    3.74219    0.01711
       125      -0.57    3.47509    0.01734
       125      -0.56    3.71848    0.01679
       125      -0.55    3.64235    0.01689
       125      -0.54    3.88751    0.01834
       125      -0.53    3.78394    0.01675
       125      -0.52    3.87705    0.01751
       125      -0.51    3.84434    0.01654
       125      -0.50    3.83038    0.01769
       125      -0.49    4.05121    0.01718
       125      -0.48    4.08149    0.01766
