Academic license - for non-commercial use only
#states     factor     time      
        45     0.8200     0.0060
        45     0.8300     0.0076
        45     0.8400     0.0061
        45     0.8500     0.0075
        45     0.8600     0.0077
        45     0.8700     0.0079
        45     0.8800     0.0094
        45     0.8900     0.0078
        45     0.9000     0.0065
        45     0.9100     0.0064
        45     0.9200     0.0075
        45     0.9300     0.0072
        45     0.9400     0.0078
        45     0.9500     0.0069
        45     0.9600     0.0082
        45     0.9700     0.0076
        45     0.9800     0.0070
        45     0.9900     0.0076
        45     1.0000     0.0066
        50    -0.9900     0.0074
        50    -0.9800     0.0346
        50    -0.9700     0.0087
        50    -0.9600     0.0093
        50    -0.9500     0.0083
        50    -0.9400     0.0084
        50    -0.9300     0.0094
        50    -0.9200     0.0115
        50    -0.9100     0.0102
        50    -0.9000     0.0071
        50    -0.8900     0.0075
        50    -0.8800     0.0104
        50    -0.8700     0.0112
        50    -0.8600     0.0108
        50    -0.8500     0.0077
        50    -0.8400     0.0081
        50    -0.8300     0.0079
        50    -0.8200     0.0090
        50    -0.8100     0.0089
        50    -0.8000     0.0087
        50    -0.7900     0.0113
        50    -0.7800     0.0081
        50    -0.7700     0.0085
        50    -0.7600     0.0087
        50    -0.7500     0.0072
        50    -0.7400     0.0080
        50    -0.7300     0.0108
